date,open,high,low,close,volume,hold,settle,contract,variety
2024-05-20,1777.5,1815.0,1769.0,1810.0,17,11,1796.5,JM2505,JM
2024-05-21,1811.5,1811.5,1790.0,1790.0,5,15,1796.5,JM2505,JM
2024-05-22,1825.5,1863.5,1821.0,1847.0,21,18,1841.5,JM2505,JM
2024-05-23,1873.5,1878.0,1835.5,1853.5,13,22,1860.0,JM2505,JM
2024-05-24,1878.0,1878.0,1846.5,1867.0,30,36,1866.0,JM2505,JM
2024-05-27,1849.0,1856.0,1821.0,1855.0,11,38,1835.0,JM2505,JM
2024-05-28,1858.5,1876.0,1811.0,1811.0,35,57,1846.0,JM2505,JM
2024-05-29,1860.0,1860.0,1790.0,1820.0,67,83,1805.0,JM2505,JM
2024-05-30,1823.5,1830.0,1780.5,1790.0,18,90,1809.5,JM2505,JM
2024-05-31,1780.0,1795.5,1779.5,1785.0,21,94,1783.5,JM2505,JM
2024-06-03,1778.0,1793.0,1761.0,1780.5,14,95,1781.0,JM2505,JM
2024-06-04,1771.0,1771.0,1751.5,1765.5,40,118,1763.0,JM2505,JM
2024-06-05,1757.5,1774.0,1751.0,1751.0,14,115,1759.0,JM2505,JM
2024-06-06,1731.5,1745.0,1724.5,1732.0,18,128,1732.5,JM2505,JM
2024-06-07,1767.5,1771.0,1738.0,1738.0,26,137,1751.0,JM2505,JM
2024-06-11,1728.0,1728.0,1700.0,1709.0,24,145,1709.0,JM2505,JM
2024-06-12,1719.5,1731.5,1719.0,1731.5,6,146,1721.5,JM2505,JM
2024-06-13,1727.0,1743.5,1708.5,1732.0,30,160,1725.5,JM2505,JM
2024-06-14,1745.0,1781.5,1740.5,1777.5,35,175,1763.5,JM2505,JM
2024-06-17,1762.5,1764.0,1736.0,1743.5,39,179,1746.0,JM2505,JM
2024-06-18,1755.0,1770.0,1720.5,1720.5,16,180,1749.0,JM2505,JM
2024-06-19,1740.0,1767.5,1740.0,1744.0,157,284,1756.5,JM2505,JM
2024-06-20,1743.0,1750.0,1718.5,1733.5,124,391,1736.5,JM2505,JM
2024-06-21,1733.5,1734.0,1713.0,1714.5,42,424,1727.5,JM2505,JM
2024-06-24,1718.0,1724.5,1693.5,1704.0,194,542,1712.0,JM2505,JM
2024-06-25,1694.5,1694.5,1678.5,1691.0,104,593,1688.0,JM2505,JM
2024-06-26,1691.0,1724.0,1691.0,1724.0,50,607,1707.5,JM2505,JM
2024-06-27,1717.5,1750.0,1714.0,1725.0,157,592,1733.0,JM2505,JM
2024-06-28,1730.0,1737.0,1720.0,1729.0,24,597,1730.0,JM2505,JM
2024-07-01,1728.5,1770.0,1728.5,1770.0,51,616,1756.0,JM2505,JM
2024-07-02,1771.5,1790.0,1771.5,1786.0,75,636,1782.0,JM2505,JM
2024-07-03,1775.0,1800.0,1771.0,1797.0,35,638,1792.5,JM2505,JM
2024-07-04,1792.0,1795.0,1783.5,1783.5,12,638,1788.0,JM2505,JM
2024-07-05,1780.5,1780.5,1732.0,1732.0,47,647,1753.5,JM2505,JM
2024-07-08,1732.0,1755.0,1725.0,1725.0,59,641,1732.5,JM2505,JM
2024-07-09,1725.0,1746.0,1723.0,1736.5,79,683,1738.5,JM2505,JM
2024-07-10,1734.0,1740.0,1693.0,1697.0,290,740,1723.0,JM2505,JM
2024-07-11,1715.5,1740.0,1708.0,1728.0,49,751,1726.0,JM2505,JM
2024-07-12,1728.0,1745.0,1728.0,1731.5,13,757,1734.5,JM2505,JM
2024-07-15,1739.0,1765.0,1720.0,1739.0,46,759,1745.0,JM2505,JM
2024-07-16,1735.5,1745.0,1721.0,1735.0,28,747,1731.0,JM2505,JM
2024-07-17,1736.0,1740.0,1712.5,1712.5,88,795,1731.0,JM2505,JM
2024-07-18,1704.0,1707.0,1678.0,1705.0,454,934,1688.5,JM2505,JM
2024-07-19,1649.5,1707.0,1649.5,1681.0,139,980,1687.0,JM2505,JM
2024-07-22,1675.0,1677.0,1626.5,1626.5,136,1024,1643.5,JM2505,JM
2024-07-23,1629.0,1636.5,1600.0,1600.0,210,1148,1619.5,JM2505,JM
2024-07-24,1600.0,1620.0,1600.0,1605.0,185,1285,1610.5,JM2505,JM
2024-07-25,1606.5,1606.5,1570.0,1570.0,285,1389,1585.0,JM2505,JM
2024-07-26,1570.0,1599.5,1569.5,1580.5,93,1435,1580.5,JM2505,JM
2024-07-29,1577.0,1583.0,1557.0,1563.0,192,1533,1572.5,JM2505,JM
2024-07-30,1563.0,1564.0,1522.0,1525.0,128,1491,1554.5,JM2505,JM
2024-07-31,1522.0,1558.0,1518.5,1548.0,118,1500,1541.0,JM2505,JM
2024-08-01,1542.5,1561.0,1529.5,1533.0,130,1506,1547.0,JM2505,JM
2024-08-02,1547.0,1547.0,1509.0,1536.0,266,1600,1527.0,JM2505,JM
2024-08-05,1536.0,1536.5,1505.5,1534.5,402,1669,1525.0,JM2505,JM
2024-08-06,1519.0,1533.5,1503.5,1509.0,221,1761,1515.0,JM2505,JM
2024-08-07,1494.5,1535.0,1487.0,1488.0,112,1791,1495.0,JM2505,JM
2024-08-08,1492.0,1496.5,1450.0,1455.0,279,1916,1484.0,JM2505,JM
2024-08-09,1455.0,1480.5,1440.5,1444.0,433,2056,1458.5,JM2505,JM
2024-08-12,1451.0,1460.0,1403.5,1407.0,167,2096,1427.0,JM2505,JM
2024-08-13,1404.0,1419.0,1367.0,1377.5,340,2234,1398.0,JM2505,JM
2024-08-14,1364.5,1370.5,1333.5,1340.0,262,2313,1355.0,JM2505,JM
2024-08-15,1345.0,1352.5,1317.0,1350.5,1201,3250,1332.5,JM2505,JM
2024-08-16,1354.0,1391.0,1320.5,1325.0,1687,4057,1352.0,JM2505,JM
2024-08-19,1325.0,1339.0,1293.5,1336.0,1470,4798,1320.0,JM2505,JM
2024-08-20,1338.0,1344.5,1300.0,1310.5,1844,6058,1313.0,JM2505,JM
2024-08-21,1317.5,1360.0,1311.0,1360.0,2142,7019,1341.0,JM2505,JM
2024-08-22,1360.0,1365.0,1320.5,1334.5,1558,7302,1346.0,JM2505,JM
